Kunta,C,100;Mjtunnus,N,10,0;Kohdenimi,C,100;Ajoitus,C,254;Tyyppi,C,100;Alatyyppi,C,100;Laji,C,100;I,N,31,15;P,N,31,15;Paikannust,N,10,0;Paikannu00,N,10,0;Selite,C,254;Tuhoutunut,C,100;Luontipvm,D;Muutospvm,D;Zala,N,14,2;Zylä,N,14,2;Vedenalain,C,1
Parainen;1000027683;Korsnäs viken 1;historiallinen;alusten hylyt;hylyt (puu);muu kohde;212982;6680394;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;26.01.16;26.01.16;0.00;0.00;k
Kemiönsaari;1000022633;Morgonlandet lounaispuoli;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;254882;6630840;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;26.01.16;26.01.16;0.00;0.00;k
Parainen;1000027685;Risis viken;;alusten hylyt;ei määritelty;muu kohde;210294;6680412;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;26.01.16;26.01.16;0.00;0.00;k
Hanko;1000026496;Hangonkylän satama;;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;273148;6640866;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;11.05.15;;0.00;0.00;k
Hämeenlinna;1000026510;Syrjänalunen;ajoittamaton;alusten hylyt;hylyt (puu);löytöpaikka;400194;6785767;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;14.05.15;;0.00;0.00;k
Oulu;1000026667;Huikosenniemi;historiallinen;alusten hylyt;hylyt (puu);muu kulttuuriperintökohde;423985;7218971;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;17.06.15;17.06.15;0.00;0.00;K
Uusikaupunki;1687;Juhannenmerenkarta;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;190854;6775855;11002;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;06.10.15;07.10.15;0.00;0.00;k
Uusikaupunki;1686;John;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;192086;6777501;11002;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;06.10.15;07.10.15;0.00;0.00;k
Rauma;1000027872;Drott;historiallinen;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;182279;6793572;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;26.02.16;26.02.16;0.00;0.00;k
Taipalsaari;1000026670;Konstunluoto;;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;557853;6778052;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;17.06.15;17.06.15;0.00;0.00;k
